freq(fk_+66),vel(fk_+66),wav(fk_+66),freq(fk_+56),vel(fk_+56),wav(fk_+56),freq(fk_+51),vel(fk_+51),wav(fk_+51),freq(fk_+48),vel(fk_+48),wav(fk_+48),freq(fk_-2),vel(fk_-2),wav(fk_-2),freq(fk_-5),vel(fk_-5),wav(fk_-5),freq(fk_-10),vel(fk_-10),wav(fk_-10),freq(fk_-20),vel(fk_-20),wav(fk_-20),freq(fk_-30),vel(fk_-30),wav(fk_-30)
2.125,48.710601719197705,22.92263610315186,2.125,73.91304347826087,34.78260869565218,2.125,70.83333333333334,33.333333333333336,2.125,117.24137931034484,55.17241379310345,2.125,168.31683168316832,79.20792079207921,2.125,134.9206349206349,63.49206349206349,2.125,155.96330275229357,73.39449541284404,2.125,56.10561056105611,26.402640264026406,2.125,108.28025477707007,50.955414012738856
2.1875,47.814207650273225,21.85792349726776,2.1875,82.93838862559242,37.91469194312796,2.1875,71.13821138211382,32.520325203252035,2.1875,117.4496644295302,53.691275167785236,2.1875,178.57142857142856,81.63265306122449,2.1875,144.62809917355372,66.11570247933885,2.1875,153.50877192982455,70.17543859649122,2.1875,56.63430420711974,25.88996763754045,2.1875,102.3391812865497,46.78362573099415
2.25,47.49340369393139,21.10817941952506,2.25,112.49999999999999,49.99999999999999,2.25,73.46938775510205,32.6530612244898,2.25,116.88311688311688,51.94805194805195,2.25,185.56701030927834,82.4742268041237,2.25,157.89473684210523,70.17543859649122,2.25,153.84615384615384,68.37606837606837,2.25,57.324840764331206,25.477707006369425,2.25,97.29729729729729,43.24324324324324
2.3125,47.68041237113402,20.618556701030926,2.3125,129.37062937062936,55.94405594405594,2.3125,85.64814814814815,37.03703703703704,2.3125,114.90683229813666,49.68944099378883,2.3125,188.77551020408163,81.63265306122449,2.3125,174.52830188679246,75.47169811320755,2.3125,155.46218487394958,67.22689075630252,2.3125,57.99373040752351,25.078369905956112,2.3125,92.96482412060301,40.201005025125625
2.375,48.101265822784804,20.253164556962023,2.375,136.69064748201436,57.55395683453236,2.375,101.6042780748663,42.7807486631016,2.375,112.42603550295856,47.33727810650887,2.375,188.1188118811881,79.2079207920792,2.375,200.0,84.21052631578948,2.375,159.6638655462185,67.22689075630252,2.375,59.006211180124225,24.84472049689441,2.375,89.62264150943396,37.735849056603776
2.4375,99.48979591836735,40.816326530612244,2.4375,138.29787234042553,56.737588652482266,2.4375,107.73480662983427,44.19889502762432,2.4375,108.33333333333333,44.44444444444444,2.4375,187.49999999999997,76.9230769230769,2.4375,253.24675324675323,103.8961038961039,2.4375,165.25423728813558,67.79661016949152,2.4375,171.05263157894734,70.17543859649122,2.4375,87.05357142857143,35.714285714285715
2.5,101.5228426395939,40.609137055837564,2.5,136.98630136986304,54.79452054794522,2.5,109.8901098901099,43.956043956043956,2.5,103.09278350515463,41.23711340206185,2.5,188.67924528301887,75.47169811320755,2.5,84.7457627118644,33.89830508474576,2.5,173.91304347826087,69.56521739130434,2.5,170.94017094017093,68.37606837606837,2.5,84.7457627118644,33.89830508474576
2.5625,104.06091370558374,40.60913705583756,2.5625,133.98692810457516,52.287581699346404,2.5625,111.41304347826086,43.47826086956521,2.5625,15.106853352984524,5.895357406042741,2.5625,191.58878504672896,74.76635514018692,2.5625,99.99999999999999,39.02439024390243,2.5625,184.68468468468467,72.07207207207206,2.5625,173.728813559322,67.79661016949152,2.5625,82.66129032258064,32.25806451612903
2.625,107.14285714285715,40.81632653061225,2.625,131.25,50.0,2.625,112.29946524064172,42.78074866310161,2.625,15.373352855051245,5.856515373352855,2.625,194.44444444444446,74.07407407407408,2.625,116.66666666666667,44.44444444444444,2.625,201.9230769230769,76.92307692307692,2.625,176.47058823529412,67.22689075630252,2.625,80.76923076923077,30.76923076923077
2.6875,111.97916666666666,41.666666666666664,2.6875,127.97619047619047,47.61904761904761,2.6875,113.15789473684211,42.10526315789474,2.6875,15.636363636363637,5.818181818181818,2.6875,199.07407407407408,74.07407407407408,2.6875,131.90184049079753,49.07975460122699,2.6875,223.95833333333331,83.33333333333333,2.6875,180.67226890756302,67.22689075630252,2.6875,457.4468085106383,170.2127659574468
